,neighborhood,hhid,mid,si2b_08,si2b_09a,si2b_09b,h_docu,type,area,weight,illness,illness_days,econ_active,self_emp,wage_emp,nelf_housework,nelf_illness,nelf_other,empindus_rickvan,empindus_rmg,empindus_business,empindus_service,empindus_labor,empindus_maid,empindus_other,payment_freq_perday,payment_freq_perweek,payment_freq_permonth,payment_freq_other,empterm_1,empterm_2,empterm_3,empterm_4,empterm_5,wage_pm,tot_inc,lntot_inc,emp_loc_home,emp_loc_neighborhood,emp_loc_other,emp_transport_walk,emp_transport_rick,emp_transport_bus,emp_transport_other,travel_cost,travel_time,njob,emp_duration,first_job,tvet,CESD_score,depression,age_marriage,childcare,hour_childare,taka_childare,edu_mother,edu_father,duration_community_1,duration_community_2,duration_community_3,duration_community_4,duration_community_5,duration_community_5y,moved,move_reason_work,move_reason_marriage,move_reason_wfamily,move_reason_ffamily,move_reason_other,bornhere,movedhakz,mig_orig,knack1,lnknack1,knack2,lnknack2,knack3,lnknack3,knack4,lnknack4,knack5,lnknack5,knack6,lnknack6,knack7,lnknack7,knack8,lnknack8,knack9,lnknack9,knack10,lnknack10,knack11,lnknack11,knack12,lnknack12,knack13,lnknack13,knack14,lnknack14,knack15,lnknack15,knack16,lnknack16,knack17,lnknack17,att_decjob,veil_n,veil_o,safety1,safety2,safety3,harass_freq_n,harass_freq_o,freq_goc,h_owner,h_rsell,h_rbquet,h_rcoll,h_rrent,h_rimpv,ccduration1,lnccduration1,duration1,duration2,duration3,duration4,duration5,duration6,lnduration1,lnduration2,lnduration3,lnduration4,lnduration5,lnduration6,location1,location2,location3,lnlocation1,lnlocation2,lnlocation3,fin_source_any,fin_source1,fin_source2,fin_source3,fin_source4,fin_spend_any,fin_spend1,fin_spend2,fin_spend3,fin_spend4,sex,reltohhh_hhh,reltohhh_spouse,reltohhh_child,reltohhh_other,age,marital_member_1,marital_member_2,marital_member_3,marital_member_4,marital_member_5,first_grade,second_grade,third_grade,fourth_grade,fifth_grade,sixth_grade,seventh_grade,eighth_grade,ninth_grade,tenth_grade,zero_grade,twelfth_grade,other_grade,comp_year_edu,nrooms,sep_kitchen,roof_mat1,roof_mat2,roof_mat3,av_space,toilet_improved,toilet_shared,water_improved,electricity,dwelling_own,dwelling_rented,dwelling_free,contract_dwelling,rent,foodexp_pc,lnfoodexp_pc,foodexp_pc1,foodexp_pc2,foodexp_pc3,foodexp_pc4,foodexp_pc5,spros,hhsize,hh_lit_1,hh_lit_2,hh_lit_3,hh_lit_4,male_hhh,marital_hh_1,marital_hh_2,marital_hh_3,marital_hh_4,marital_hh_5,adults,male,earning_member,service1,service2,service3,service4,service5,service6,service7,service8
2214,62,12,1,2500,,,,Non-slum,Greater Dhaka,255.50296,1,10,Yes,0,1,,,,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,9000,9208.333,9.127864,0,1,0,1,0,0,0,,15,1,6,0,0,2,0,30,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,From elsewhere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,1,0,,,,,,0,-1.3862944,11,1.25,11.75,0,0,0,2.4203682,0.4054651,2.4849067,-1.3862944,-1.3862944,-1.3862944,11.75,12.25,0,2.4849067,2.5257287,-1.3862944,1,0,1,0,0,1,0,1,0,0,Male,1,0,0,0,58,0,1,0,0,0,,,,,,,,,,,,,,0,1,1,0,1,0,144,1,1,1,1,0,1,0,1,3000,678.04,6.519206,0,0,1,0,0,1,3,0,1,0,0,1,0,1,0,0,0,0.6666667,0.6666667,1,0,0,0,1,1,1,1,1
2215,62,12,2,2000,,,,Non-slum,Greater Dhaka,255.50296,1,18,Yes,0,1,,,,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,5000,5166.6665,8.549983,0,1,0,1,0,0,0,,15,1,12,1,0,10,0,13,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,From elsewhere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,1,1,2,1,1,1,0,,,,,,0,-1.3862944,12,0.75,8,3.25,0,0,2.5055258,0,2.1102133,1.2527629,-1.3862944,-1.3862944,15.75,8.25,0,2.7725887,2.1400661,-1.3862944,0,0,0,0,0,0,0,0,0,0,Female,0,1,0,0,38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,67,1,1,0,1,0,144,1,1,1,1,0,1,0,1,3000,678.04,6.519206,0,0,1,0,0,1,3,0,1,0,0,1,0,1,0,0,0,0.6666667,0.6666667,1,0,0,0,1,1,1,1,1
2216,62,13,3,0,,,No,Non-slum,Greater Dhaka,255.50296,0,0,Yes,0,1,,,,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,7000,7000,8.853665,0,0,1,1,0,0,0,,40,1,96,0,0,8,0,16,,10,0,0,66,0,0,0,0,1,1,,,,,,,0,0,From elsewhere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,1,1,1,1,1,1,1,0,0,1,1,1,0,-1.3862944,14,8,0.5,1.5,0,0,2.6567569,2.1102133,-0.2876821,0.5596158,-1.3862944,-1.3862944,17.5,0,6.5,2.8763855,-1.3862944,1.9095426,1,1,0,0,0,1,1,0,0,0,Female,0,0,1,0,29,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,4,1,0,1,0,189,0,0,1,1,0,0,1,0,0,477.315,6.1681767,0,1,0,0,0,0,8,0,1,0,0,0,0,1,0,0,0,0.75,0.625,0.25,1,0,0,1,1,1,1,1
2217,62,13,4,2500,,,,Non-slum,Greater Dhaka,255.50296,0,0,Yes,0,1,,,,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,10000,10208.333,9.23096,0,0,1,1,0,0,0,,20,1,36,0,0,7,0,18,,72,0,5,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,From elsewhere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,1,0,,,,,,0,-1.3862944,10.25,2.5,11.25,0,0,0,2.3513753,1.011601,2.442347,-1.3862944,-1.3862944,-1.3862944,13.25,10.75,0,2.6026897,2.3978953,-1.3862944,,,,,,,,,,,Male,0,0,0,1,32,0,1,0,0,0,,,,,,,,,,,,,,0,4,1,0,1,0,189,0,0,1,1,0,0,1,0,0,477.315,6.1681767,0,1,0,0,0,0,8,0,1,0,0,0,0,1,0,0,0,0.75,0.625,0.25,1,0,0,1,1,1,1,1
2218,62,15,1,,9000,0,,Non-slum,Greater Dhaka,255.50296,1,2,Yes,1,0,,,,1,0,0,0,0,0,0,,,,,0,0,0,1,0,,9000,9.1049795,0,1,0,1,0,0,0,,5,1,72,0,0,7,0,20,,60,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,From Dhaka zilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,1,0,,,,,,0,-1.3862944,12,2.75,8.5,0,0.75,0,2.5055258,1.0986123,2.1690538,-1.3862944,0,-1.3862944,14.5,1.25,8.25,2.6912432,0.4054651,2.1400661,,,,,,,,,,,Male,1,0,0,0,35,0,1,0,0,0,,,,,,,,,,,,,,0,1,1,0,0,1,80,1,1,1,1,0,1,0,1,4400,568.81665,6.3435583,0,0,1,0,0,1,6,0,1,0,0,1,0,1,0,0,0,0.5,0.5,0.33333334,0,0,0,1,1,1,1,0
2219,62,15,2,1200,,,,Non-slum,Greater Dhaka,255.50296,0,0,Yes,0,1,,,,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,4000,4100,8.318742,0,1,0,1,0,0,0,,20,1,12,1,0,5,0,18,,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,From elsewhere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,3,2,2,2,0,0,1,0,,,,,,2,0.8109302,8.25,2,7.5,4,2.25,0,2.1400661,0.8109302,2.0476928,1.446919,0.91629076,-1.3862944,16.5,7.5,0,2.8183982,2.0476928,-1.3862944,,,,,,,,,,,Female,0,1,0,0,30,0,1,0,0,0,,,,,,,,,,,,,,0,1,1,0,0,1,80,1,1,1,1,0,1,0,1,4400,568.81665,6.3435583,0,0,1,0,0,1,6,0,1,0,0,1,0,1,0,0,0,0.5,0.5,0.33333334,0,0,0,1,1,1,1,0
2220,62,17,1,,14000,0,,Non-slum,Greater Dhaka,255.50296,0,0,Yes,1,0,,,,0,0,0,0,0,0,1,,,,,0,0,0,1,0,,14000,9.546813,0,0,1,1,0,0,0,,30,1,108,1,0,4,0,19,,240,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,From elsewhere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,1,0,,,,,,0,-1.3862944,11.5,0,12.5,0,0,0,2.4638534,-1.3862944,2.5455313,-1.3862944,-1.3862944,-1.3862944,11.5,12.5,0,2.4638534,2.5455313,-1.3862944,0,0,0,0,0,0,0,0,0,0,Male,1,0,0,0,40,0,1,0,0,0,,,,,,,,,,,,,,0,1,1,0,1,0,120,1,1,1,1,0,1,0,1,3500,1176.272,7.0701056,0,0,0,0,1,1,5,0,1,0,0,1,0,1,0,0,0,0.6,0.2,0.6,0,0,0,1,1,1,1,1
2221,62,17,2,2500,,,,Non-slum,Greater Dhaka,255.50296,0,0,Yes,0,1,,,,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,6000,6208.3335,8.733647,0,1,0,1,0,0,0,,10,1,120,1,0,2,0,13,1,4,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,From elsewhere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,1,1,1,1,1,1,0,,,,,,0,-1.3862944,11.75,1,6.25,4,1,0,2.4849067,0.22314355,1.8718022,1.446919,0.22314355,-1.3862944,17.75,6.25,0,2.8903718,1.8718022,-1.3862944,1,1,0,0,0,0,0,0,0,0,Female,0,1,0,0,34,0,1,0,0,0,,,,,,,,,,,,,,0,1,1,0,1,0,120,1,1,1,1,0,1,0,1,3500,1176.272,7.0701056,0,0,0,0,1,1,5,0,1,0,0,1,0,1,0,0,0,0.6,0.2,0.6,0,0,0,1,1,1,1,1
2222,62,18,1,0,,,,Non-slum,Greater Dhaka,255.50296,0,0,Yes,0,1,,,,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,10000,10000,9.2103405,0,1,0,1,0,0,0,,30,1,84,0,0,0,0,20,,50,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,From elsewhere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,,,1,0,,,,,,0.25,-0.6931472,8,4.75,10.75,0.5,0,0,2.1102133,1.609438,2.3978953,-0.2876821,-1.3862944,-1.3862944,12.5,0,11.5,2.5455313,-1.3862944,2.4638534,1,1,0,0,0,1,1,0,0,0,Male,1,0,0,0,38,0,1,0,0,0,,,,,,,,,,,,,,0,1,1,0,0,1,120,1,1,1,1,0,1,0,1,3700,539.16,6.2900124,0,1,0,0,0,0,3,1,0,0,0,1,0,1,0,0,0,0.6666667,0.33333334,0.6666667,0,1,0,0,1,0,1,0
2223,62,18,2,2000,,,,Non-slum,Greater Dhaka,255.50296,0,0,Yes,0,1,,,,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,6000,6166.6665,8.726913,0,1,0,1,0,0,0,,20,1,120,1,0,4,0,18,,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,From Dhaka zilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,2,2,2,0,0,1,0,,,,,,1.5,0.5596158,8.75,0.5,9,3.25,1.5,1,2.1972246,-0.2876821,2.2246234,1.2527629,0.5596158,0.22314355,15,9,0,2.7245796,2.2246234,-1.3862944,1,0,1,0,0,1,0,1,0,0,Female,0,1,0,0,30,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1,1,0,0,1,120,1,1,1,1,0,1,0,1,3700,539.16,6.2900124,0,1,0,0,0,0,3,1,0,0,0,1,0,1,0,0,0,0.6666667,0.33333334,0.6666667,0,1,0,0,1,0,1,0
